kubectl get events -n quota-demo --sort-by='.lastTimestamp'
LAST SEEN   TYPE      REASON              OBJECT                         MESSAGE
45m         Normal    Scheduled           pod/app-v1-679646dd78-45xg6    Successfully assigned quota-demo/app-v1-679646dd78-45xg6 to quota-test-control-plane
45m         Normal    ScalingReplicaSet   deployment/app-v1              Scaled up replica set app-v1-679646dd78 from 0 to 8
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-hp995
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-qwq8s
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-n5h9r
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-45xg6
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-nqhx5
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-vg55h
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-gp5kp
45m         Normal    SuccessfulCreate    replicaset/app-v1-679646dd78   Created pod: app-v1-679646dd78-qlsks
45m         Normal    Scheduled           pod/app-v1-679646dd78-vg55h    Successfully assigned quota-demo/app-v1-679646dd78-vg55h to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-qwq8s    Successfully assigned quota-demo/app-v1-679646dd78-qwq8s to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-qlsks    Successfully assigned quota-demo/app-v1-679646dd78-qlsks to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-nqhx5    Successfully assigned quota-demo/app-v1-679646dd78-nqhx5 to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-n5h9r    Successfully assigned quota-demo/app-v1-679646dd78-n5h9r to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-hp995    Successfully assigned quota-demo/app-v1-679646dd78-hp995 to quota-test-control-plane
45m         Normal    Scheduled           pod/app-v1-679646dd78-gp5kp    Successfully assigned quota-demo/app-v1-679646dd78-gp5kp to quota-test-control-plane
45m         Normal    Pulled              pod/app-v1-679646dd78-vg55h    Container image "nginx:alpine" already present on machine and can be accessed by the pod
45m         Normal    Created             pod/app-v1-679646dd78-gp5kp    Container created
45m         Normal    Started             pod/app-v1-679646dd78-n5h9r    Container started
45m         Normal    Created             pod/app-v1-679646dd78-n5h9r    Container created
45m         Normal    Pulled              pod/app-v1-679646dd78-n5h9r    Container image "nginx:alpine" already present on machine and can be accessed by the pod
45m         Normal    Created             pod/app-v1-679646dd78-nqhx5    Container created
